program_status_id,program_status,student_id,course_id,course_grade,course_points,semester
78,Terminated,113,31,B,9,2006-2
79,Terminated,113,41,C,6,2006-2
80,Transferred,551,49,P,0,2008-1
81,Transferred,551,45,C+,7.5,2008-1
82,Transferred,551,50,F,0,2008-1
83,Transferred,551,51,P,0,2008-1
84,Terminated,639,24,F,0,2013-1
85,Terminated,639,3,F,0,2013-1
86,Terminated,639,4,F,0,2013-1
87,Terminated,639,27,F,0,2013-1
88,Terminated,639,11,F,0,2013-1
89,Terminated,653,52,RE,0,2002-1
90,Terminated,653,53,D,3,2001-2
91,Terminated,653,54,B,9,2001-2
92,Terminated,653,55,RE,0,2002-1
93,Terminated,653,42,RE,0,2002-1
94,Terminated,653,56,D,3,2001-2
95,Terminated,749,28,WP,0,2007-1
96,Terminated,749,50,F,0,2007-1
97,Terminated,749,46,WF,0,2007-1
98,Graduated,1217,51,RE,,2001-1
99,Graduated,1217,54,B+,10.5,2002-1
100,Graduated,1217,37,B+,10.5,2002-2
101,Graduated,1217,1,B,9,2002-2
102,Graduated,1217,24,B,9,2002-1
103,Graduated,1217,16,C+,7.5,2002-2
104,Graduated,1217,23,B+,10.5,2003-1
105,Graduated,1217,39,B,9,2003-1
106,Graduated,1217,33,B,12,2003-1
107,Graduated,1217,40,B+,10.5,2003-2
108,Graduated,1217,20,B,9,2003-2
109,Graduated,1217,48,B,9,2003-2
110,Graduated,1217,32,B+,10.5,2002-2
111,Graduated,1217,18,B+,10.5,2003-1
112,Graduated,1217,30,C+,7.5,2003-1
113,Graduated,1217,42,A-,11.25,2002-1
114,Graduated,1217,31,A-,11.25,2003-1
115,Graduated,1217,38,B,9,2003-2
116,Graduated,1217,41,B+,14,2003-2
117,Graduated,1217,57,RE,,2001-1
118,Graduated,1217,43,A-,3.75,2002-1
119,Graduated,1217,29,C+,7.5,2002-1
120,Graduated,1217,4,C+,7.5,2002-2
121,Graduated,1217,58,RE,,2001-1
122,Graduated,1217,34,B,12,2002-1
123,Graduated,1217,36,B,9,2002-2
124,Graduated,1217,35,A-,11.25,2002-3
125,Graduated,1303,20,B,9,2004-2
126,Graduated,1303,31,A-,11.25,2005-1
127,Graduated,1303,59,C+,7.5,2005-1
128,Graduated,1303,34,B+,14,2002-1
129,Graduated,1303,37,B+,10.5,2002-2
130,Graduated,1303,36,B,9,2003-2
131,Graduated,1303,40,B,9,2003-2
132,Graduated,1303,35,B,9,2004-1
133,Graduated,1303,60,B,9,2005-1
134,Graduated,1303,18,C+,7.5,2004-1
135,Graduated,1303,16,B,9,2002-2
136,Graduated,1303,23,B,9,2003-1
137,Graduated,1303,39,B+,10.5,2003-1
138,Graduated,1303,38,C+,7.5,2004-2
139,Graduated,1303,83,D,3,2005-1
140,Graduated,1303,84,B+,10.5,2002-1
141,Graduated,1303,41,C+,10,2003-2
142,Graduated,1303,85,B,9,2004-1
143,Graduated,1303,86,B,9,2004-2
144,Dropped,1353,43,F,0,2001-1
145,Dropped,1353,29,D,3,2001-1
146,Dropped,1353,42,D,3,2001-1
147,Dropped,1353,36,F,0,2002-2
148,Dropped,1353,87,B+,10.5,2010-1
149,Dropped,1353,26,C+,7.5,2010-1
150,Dropped,1353,50,D,3,2001-1
151,Dropped,1353,88,B+,10.5,2010-1
152,Dropped,1353,54,F,0,2001-1
153,Dropped,1353,89,B+,10.5,2010-1
154,Dropped,1353,90,B+,10.5,2010-1
155,Dropped,1353,24,F,0,2001-1
156,Dropped,1353,42,C,6,2002-2
157,Dropped,1353,34,NG ,,2001-1
158,Terminated,1652,24,B,9,2001-1
159,Terminated,1652,34,C,8,2001-1
160,Terminated,1652,1,C,6,2001-2
161,Terminated,1652,4,D,3,2001-2
162,Terminated,1652,43,D+,1.5,2001-1
163,Terminated,1652,42,C,6,2001-1
164,Terminated,1652,36,C,6,2001-2
165,Terminated,1652,37,D+,4.5,2001-2
166,Terminated,1652,32,F,0,2001-2
167,Terminated,1652,30,C+,7.5,2002-1
168,Terminated,1652,32,D+,4.5,2001-3
169,Terminated,1652,38,NG,,2005-1
170,Terminated,1652,48,F,0,2005-1
171,Terminated,1652,29,A-,11.25,2001-1
172,Terminated,1652,35,W,0,2002-1
173,Terminated,1652,31,D,3,2002-1
174,Terminated,1652,38,RE,0,2004-1
175,Terminated,1652,31,F,0,2005-1
176,Terminated,1652,54,C+,7.5,2001-1
177,Terminated,1652,48,RE,0,2004-1
178,Terminated,1652,23,F,0,2001-2
179,Terminated,1652,31,RE,0,2004-1
180,Terminated,1652,1,C+,7.5,2007-1
181,Terminated,1652,48,C+,7.5,2007-1
182,Terminated,1652,38,D+,4.5,2007-1
183,Dropped,2030,91,A-,11.25,2002-1
184,Dropped,2030,37,B,9,2002-2
185,Dropped,2030,39,C,6,2003-1
186,Dropped,2030,41,C,8,2003-2
187,Dropped,2030,36,C+,7.5,2002-2
188,Dropped,2030,23,D+,4.5,2002-2
189,Dropped,2030,20,B+,10.5,2003-2
190,Dropped,2030,92,A,12,2003-2
191,Dropped,2030,35,A-,11.25,2002-1
192,Dropped,2030,4,C,6,2002-2
193,Terminated,2077,50,C+,7.5,2001-1
194,Terminated,2077,43,D+,1.5,2001-1
195,Terminated,2077,24,F,0,2001-1
196,Terminated,2077,45,F,0,2009-1
197,Terminated,2077,93,C,6,2001-1
198,Terminated,2077,58,F,0,2009-1
199,Graduated,2158,24,B+,10.5,2011-1
200,Graduated,2158,26,B+,10.5,2011-2
201,Graduated,2158,13,C+,7.5,2011-2
202,Graduated,2158,18,C+,7.5,2012-1
203,Graduated,2158,19,B,9,2013-1
204,Graduated,2158,16,WP,0,2011-2
205,Graduated,2158,22,C+,7.5,2012-1
206,Graduated,2158,19,B+,10.5,2012-1
207,Graduated,2158,16,F,0,2012-2
208,Graduated,2158,2,B,9,2013-1
209,Graduated,2158,5,D,3,2014-1
210,Graduated,2158,4,B,9,2011-1
211,Graduated,2158,15,A,12,2011-2
212,Graduated,2158,1,B,9,2011-2
213,Graduated,2158,14,A-,11.25,2012-1
214,Graduated,2158,10,C,6,2012-2
215,Graduated,2158,94,C+,7.5,2012-2
216,Graduated,2158,16,D+,4.5,2013-2
217,Graduated,2158,20,A-,11.25,2015-2
218,Graduated,2158,50,B,9,2011-1
219,Graduated,2158,27,C,6,2011-1
220,Graduated,2158,17,C,6,2011-2
221,Graduated,2158,27,B,9,2013-1
222,Graduated,2158,16,C,6,2014-2
223,Graduated,2158,23,C+,7.5,2015-1
224,Graduated,2158,5,D+,4.5,2015-1
225,Graduated,2158,40,B,9,2015-2
226,Graduated,2158,12,A,4,2011-2
227,Graduated,2158,5,WF,0,2013-1
228,Graduated,2158,8,C+,7.5,2015-2
229,Graduated,2158,7,C+,7.5,2015-2
230,Graduated,2158,5,C,6,2015-2
231,Graduated,2158,3,C+,7.5,2011-1
232,Graduated,2158,97,A-,11.25,2011-1
233,Graduated,2158,5,D,3,2012-1
234,Graduated,2158,38,B,9,2012-2
235,Transferred,2515,99,B,9,2007-1
236,Transferred,2515,40,C+,7.5,2007-2
237,Transferred,2515,46,C,6,2007-2
238,Transferred,2515,37,C,6,2008-2
239,Transferred,2515,17,D+,4.5,2008-3
240,Transferred,2515,44,D+,4.5,2007-1
241,Transferred,2515,13,C+,7.5,2008-1
242,Transferred,2515,8,B,9,2008-2
243,Transferred,2515,46,C,6,2007-1
244,Transferred,2515,18,C,6,2008-1
245,Transferred,2515,41,B,9,2008-2
246,Transferred,2515,28,C+,7.5,2007-1
247,Transferred,2515,16,C,6,2007-2
248,Transferred,2515,44,C,6,2008-1
249,Transferred,2515,47,C,6,2008-2
250,Transferred,2515,31,B+,10.5,2008-2
251,Transferred,2515,17,F,0,2008-2
252,Transferred,2515,23,C+,7.5,2008-1
253,Terminated,2694,307,A,,2019-2
254,Terminated,2694,90,C,6,2019-2
255,Terminated,2694,27,NG,0,2020-1
256,Terminated,2694,103,P,,2019-2
257,Terminated,2694,22,NG,0,2020-1
258,Terminated,2694,11,NG,0,2020-1
259,Terminated,2694,3,NG,0,2020-1
260,Dropped,2694,27,W,0,2022-1
261,Dropped,2694,11,B+,10.5,2022-1
262,Terminated,2788,19,B+,10.5,2011-1
263,Terminated,2788,15,A-,11.25,2011-2
264,Terminated,2788,27,WP,0,2011-1
265,Terminated,2788,27,D,3,2012-1
266,Graduated,2792,41,B+,10.5,2005-2
267,Graduated,2792,20,A,12,2005-2
268,Graduated,2792,40,A,12,2005-2
269,Graduated,2792,13,B,9,2005-2
270,Terminated,3136,11,F,0,2013-1
271,Terminated,3136,27,F,0,2013-1
272,Terminated,3136,97,F,0,2013-1
273,Terminated,3301,30,F,0,2001-1
274,Terminated,3301,32,C+,7.5,2003-2
275,Terminated,3301,35,C+,7.2,2003-3
276,Terminated,3301,39,C,6,2004-1
277,Terminated,3301,40,F,0,2004-2
278,Terminated,3301,17,F,0,2004-2
279,Terminated,3301,28,W,0,2005-1
280,Terminated,3301,28,F,0,2005-2
281,Terminated,3301,54,C,6,2001-1
282,Terminated,3301,24,B,9,2003-1
283,Terminated,3301,50,B+,10.2,2003-3
284,Terminated,3301,44,F,0,2005-1
285,Terminated,3301,30,C+,7.5,2003-1
286,Terminated,3301,1,B+,10.5,2003-2
287,Terminated,3301,44,WP,0,2004-1
288,Terminated,3301,20,C+,7.5,2004-2
289,Terminated,3301,54,B,9,2003-1
290,Terminated,3301,36,B+,10.5,2003-2
291,Terminated,3301,31,B+,10.5,2004-1
292,Terminated,3301,44,NG,,2004-2
293,Terminated,3301,43,A-,3.75,2003-1
294,Terminated,3301,29,D+,0,2003-1
295,Terminated,3301,28,F,0,2003-1
296,Terminated,3301,28,F,0,2004-1
297,Terminated,3301,48,D+,4.5,2004-1
298,Terminated,3301,38,D,3,2004-2
299,Dropped,3573,54,C,6,2003-3
300,Dropped,3573,42,C,6,2002-1
301,Dropped,3573,54,D+,4.5,2002-2
302,Dropped,3573,124,C+,0,2002-1
303,Dropped,3573,43,B,3,2002-1
304,Dropped,3573,29,B,9,2002-1
305,Dropped,3573,34,C+,10,2002-1
306,Dropped,3573,24,B,9,2002-2
307,Dropped,3573,308,C,0,2002-1
308,Dropped,3573,37,F,0,2002-2
309,Dropped,3573,42,A,12,2003-1
310,Dropped,3573,37,W,0,2003-2
311,Dropped,3573,36,B+,10.5,2003-2
312,Dropped,3573,90,B+,10.2,2003-3
313,Dropped,3573,30,C+,7.5,2003-1
314,Dropped,3573,54,C,6,2003-1
315,Dropped,3573,1,B,9,2003-2
316,Dropped,3593,31,D+,4.5,2004-1
317,Dropped,3593,43,NG,,2003-1
318,Dropped,3593,37,D+,4.5,2003-2
319,Dropped,3593,28,F,0,2004-2
320,Dropped,3593,28,D,3,2003-1
321,Dropped,3593,29,F,0,2003-1
322,Dropped,3593,30,D,3,2003-1
323,Dropped,3593,16,A-,11.25,2003-2
324,Dropped,3593,18,C,6,2004-1
325,Dropped,3593,37,C,6,2004-2
326,Dropped,3593,23,WF,0,2004-1
327,Dropped,3593,29,B+,10.5,2005-1
328,Dropped,3593,42,A,12,2003-1
329,Dropped,3593,36,C,6,2003-2
330,Dropped,3593,29,D,3,2004-2
331,Dropped,3593,44,D+,4.5,2005-1
332,Dropped,3593,48,B,9,2005-1
333,Graduated,3641,4,WF,0,2002-2
334,Graduated,3641,39,C,6,2003-1
335,Graduated,3641,40,C,6,2003-2
336,Graduated,3641,23,B,9,2004-1
337,Graduated,3641,36,A-,11.25,2004-2
338,Graduated,3641,41,C+,7.5,2004-2
339,Graduated,3641,40,B+,10.5,2004-2
340,Graduated,3641,17,C+,7.5,2004-2
341,Graduated,3641,17,WF,0,2004-1
342,Terminated,3641,5,W,0,2008-2
343,Graduated,3641,32,D+,4.5,2002-2
344,Graduated,3641,32,B,9,2003-1
345,Graduated,3641,48,B,9,2003-2
346,Graduated,3641,16,C+,7.5,2002-2
347,Graduated,3641,36,C,6,2002-2
348,Graduated,3641,37,C+,7.5,2002-2
349,Graduated,3641,31,A-,11.25,2003-1
350,Graduated,3641,38,B,9,2003-2
351,Terminated,3641,8,F,0,2008-2
352,Terminated,3641,47,F,0,2008-2
353,Terminated,3641,45,A-,11.25,2008-2
354,Graduated,3641,18,B+,10.5,2003-1
355,Graduated,3641,20,A,12,2004-2
356,Graduated,3641,1,C+,7.5,2002-2
357,Graduated,3641,35,A-,11.25,2002-3
358,Graduated,3641,43,B+,3.5,2003-1
359,Graduated,3641,30,B,9,2003-1
360,Graduated,3641,16,A,12,2003-2
361,Graduated,3641,4,C,6,2003-2
362,Graduated,3641,39,B,9,2004-1
363,Graduated,3641,42,A,12,2004-1
364,Terminated,3641,106,F,0,2008-2
365,Graduated,3845,16,C,6,2002-2
366,Graduated,3845,4,D+,4.5,2002-2
367,Graduated,3845,33,B,12,2003-1
368,Graduated,3845,50,A-,11.25,2004-1
369,Graduated,3845,30,A-,11.25,2002-1
370,Graduated,3845,23,C+,7.5,2003-1
371,Graduated,3845,41,C+,10,2003-2
372,Graduated,3845,35,B+,10.5,2002-1
373,Graduated,3845,36,B+,10.5,2003-2
374,Graduated,3845,31,A-,11.25,2004-1
375,Graduated,3845,29,D+,4.5,2002-1
376,Graduated,3845,18,C+,7.5,2002-1
377,Graduated,3845,34,B+,14,2002-1
378,Graduated,3845,39,B+,10.5,2003-1
379,Graduated,3845,40,B,9,2003-2
380,Graduated,3845,20,B+,10.5,2003-2
381,Graduated,3845,33,F,0,2002-1
382,Graduated,3845,42,A-,11.25,2002-2
383,Graduated,3845,37,B+,10.5,2003-2
384,Dropped,3864,13,RE,0,2004-2
385,Dropped,3864,16,RE,0,2004-2
386,Dropped,3864,37,RE,0,2004-2
387,Dropped,3864,43,B+,3.5,2004-1
388,Dropped,3864,28,C+,7.5,2004-1
389,Dropped,3864,107,A-,11.25,2004-1
390,Dropped,3864,44,C+,7.5,2004-1
391,Dropped,3864,17,RE,0,2004-2
392,Dropped,3864,48,RE,0,2004-2
393,Dropped,3864,108,RE,0,2004-2
394,Transferred,3874,109,B+,10.5,2009-1
395,Transferred,3874,37,B,9,2009-1
396,Transferred,3874,15,B+,10.5,2009-1
397,Transferred,3874,18,C,6,2009-1
398,Transferred,3874,31,A,12,2009-1
399,Transferred,3874,28,A-,11.25,2009-1
400,Dropped,3880,32,A,12,2002-2
401,Dropped,3880,36,A,12,2003-2
402,Dropped,3880,33,A,16,2003-1
403,Dropped,3880,4,A-,11.25,2002-2
404,Dropped,3880,37,A,12,2003-2
405,Dropped,3880,38,A,12,2002-2
406,Dropped,3880,28,A,12,2003-1
407,Dropped,3880,42,A,12,2003-1
408,Dropped,3880,16,A,12,2003-2
409,Graduated,4258,42,C+,7.5,2006-1
410,Graduated,4258,45,B+,10.5,2007-1
411,Graduated,4258,47,C,6,2007-2
412,Graduated,4258,17,F,0,2007-2
413,Graduated,4258,5,D+,4.5,2008-1
414,Graduated,4258,13,C,6,2008-1
415,Graduated,4258,46,D,3,2006-1
416,Graduated,4258,41,C+,7.5,2007-2
417,Graduated,4258,20,C,6,2008-2
418,Graduated,4258,37,C,6,2009-1
419,Graduated,4258,8,B,9,2009-2
420,Graduated,4258,17,B,9,2010-2
421,Graduated,4258,44,C+,7.5,2006-2
422,Graduated,4258,15,B,9,2007-1
423,Graduated,4258,18,F,0,2008-1
424,Graduated,4258,37,D+,4.5,2008-2
425,Graduated,4258,8,F,0,2008-2
426,Graduated,4258,18,C,6,2008-2
427,Graduated,4258,40,D,3,2008-2
428,Graduated,4258,44,WF,0,2006-1
429,Graduated,4258,8,WP,0,2007-2
430,Graduated,4258,40,WP,0,2007-2
431,Graduated,4258,109,WP,0,2008-1
432,Graduated,4258,5,C,6,2009-1
433,Graduated,4258,40,C+,7.5,2009-2
434,Graduated,4258,17,D+,4.5,2009-2
435,Graduated,4258,43,B+,3.5,2006-1
436,Graduated,4258,16,B,9,2006-2
437,Graduated,4258,23,C,6,2007-1
438,Graduated,4258,31,B+,10.5,2007-2
439,Graduated,4258,48,B+,10.5,2007-3
440,Graduated,4258,17,F,0,2008-2
441,Graduated,4258,28,C+,7.5,2006-1
442,Graduated,4258,46,C+,7.5,2006-2
443,Dropped,4369,15,B,9,2012-2
444,Dropped,4369,1,TR,0,0000-1
445,Dropped,4369,3,TR,0,0000-1
446,Dropped,4369,26,A-,11.25,2010-3
447,Dropped,4369,2,B+,10.5,2012-1
448,Dropped,4369,19,B,9,2012-1
449,Graduated,4369,8,B+,10.5,2020-2
450,Dropped,4369,110,TR,0,0000-1
451,Dropped,4369,22,B,9,2012-1
452,Dropped,4369,50,TR,0,0000-1
453,Dropped,4369,14,TR,0,0000-1
454,Dropped,4369,17,TR,0,0000-1
455,Dropped,4369,111,TR,0,0000-1
456,Dropped,4369,90,EX,0,0000-1
457,Dropped,4369,103,TR,0,0000-1
458,Dropped,4369,16,B+,10.5,2010-2
459,Dropped,4369,23,A-,11.25,2011-1
460,Dropped,4369,18,A-,11.25,2012-1
461,Dropped,4369,20,A-,11.25,2012-2
462,Dropped,4369,24,TR,0,0000-1
463,Dropped,4369,4,TR,0,0000-1
464,Dropped,4369,5,TR,0,0000-1
465,Dropped,4369,13,TR,0,0000-1
466,Dropped,4369,27,A,12,2010-1
467,Dropped,4369,7,C,6,2011-2
468,Dropped,4369,40,B+,10.5,2012-2
469,Dropped,4395,23,RE,0,2005-1
470,Transferred,4396,28,D+,4.5,2008-1
471,Graduated,4407,1,C+,7.5,2002-2
472,Graduated,4407,16,F,0,2003-2
473,Graduated,4407,30,B+,10.5,2003-2
474,Graduated,4407,39,B+,10.5,2004-1
475,Graduated,4407,37,B+,10.5,2002-2
476,Graduated,4407,42,F,0,2003-2
477,Graduated,4407,23,C+,7.5,2004-1
478,Graduated,4407,42,B+,10.5,2004-1
479,Graduated,4407,50,A-,11.25,2002-1
480,Graduated,4407,43,A-,3.75,2003-2
481,Graduated,4407,36,F,0,2003-2
482,Graduated,4407,48,B,9,2003-2
483,Graduated,4407,38,B+,10.5,2004-1
484,Graduated,4407,41,B,9,2004-2
485,Graduated,4407,40,A-,11.25,2004-2
486,Graduated,4407,24,B+,10.5,2002-1
487,Graduated,4407,46,A-,11.25,2003-1
488,Graduated,4407,17,C+,7.5,2003-2
489,Graduated,4407,18,B+,10.5,2004-1
490,Graduated,4407,31,A,12,2004-1
491,Graduated,4407,36,A,12,2004-2
492,Graduated,4407,16,A-,11.25,2004-2
493,Graduated,4407,20,A,12,2004-2
494,Graduated,4407,44,B,9,2004-2
495,Graduated,4407,54,A,12,2002-1
496,Graduated,4407,28,A-,11.25,2003-1
497,Graduated,4407,35,A-,11.25,2003-1
498,Graduated,4446,23,B,9,2005-1
499,Graduated,4446,13,C+,7.5,2004-2
500,Graduated,4446,39,A-,11.25,2005-1
501,Graduated,4446,41,B,9,2005-2
502,Graduated,4446,20,B+,10.5,2005-2
503,Graduated,4446,28,A,12,2004-1
504,Graduated,4446,17,C+,7.5,2004-1
505,Graduated,4446,108,B+,10.5,2004-2
506,Graduated,4446,31,A-,11.25,2005-1
507,Graduated,4446,35,B,9,2005-2
508,Graduated,4446,29,A-,11.25,2004-1
509,Graduated,4446,18,C+,7.5,2005-1
510,Graduated,4446,107,B+,10.5,2005-1
511,Graduated,4446,112,A,12,2005-1
512,Graduated,4446,16,A-,11.25,2005-2
513,Graduated,4446,40,C+,7.5,2005-2
514,Graduated,4446,1,C+,7.5,2005-2
515,Graduated,4446,44,A-,11.25,2004-1
516,Graduated,4446,48,C+,7.5,2004-1
517,Graduated,4446,37,C+,7.5,2004-2
518,Graduated,4446,30,C,6,2004-2
519,Graduated,4446,16,C,6,2004-2
520,Graduated,4484,28,A,12,2003-1
521,Graduated,4484,36,A-,11.25,2003-2
522,Graduated,4484,1,B+,10.5,2003-2
523,Graduated,4484,30,B+,10.5,2004-1
524,Graduated,4484,24,B,9,2003-1
525,Graduated,4484,16,A-,11.25,2003-2
526,Graduated,4484,35,B,9,2003-3
527,Graduated,4484,40,B+,10.5,2004-2
528,Graduated,4484,54,A-,11.25,2003-1
529,Graduated,4484,32,A-,11.25,2003-2
530,Graduated,4484,20,A,12,2004-2
531,Graduated,4484,29,A-,11.25,2003-1
532,Graduated,4484,4,C+,7.5,2003-2
533,Graduated,4484,17,WP,0,2004-1
534,Graduated,4484,31,A-,11.25,2004-1
535,Graduated,4484,41,B,9,2004-2
536,Graduated,4484,23,A-,11.25,2004-1
537,Graduated,4484,18,C+,7.5,2004-1
538,Graduated,4484,38,B,9,2004-2
539,Graduated,4484,43,A-,3.75,2003-1
540,Graduated,4484,37,B,9,2003-2
541,Graduated,4484,39,B+,10.5,2004-1
542,Graduated,4484,17,D+,4.5,2004-2
543,Graduated,4484,48,B,9,2004-2
544,Dropped,4508,30,D,3,2002-2
545,Dropped,4508,42,F,0,2002-2
546,Dropped,4508,24,C+,7.5,2004-2
547,Dropped,4508,93,F,0,2002-2
548,Dropped,4508,42,C,6,2004-2
549,Dropped,4508,45,F,0,2002-2
550,Dropped,4508,90,B,9,2002-2
551,Dropped,4508,113,B,9,2004-2
552,Dropped,4508,30,C+,7.5,2006-1
553,Dropped,4508,45,C,6,2006-1
554,Graduated,4518,35,A-,11.1,2003-3
555,Graduated,4518,43,A-,3.75,2003-1
556,Graduated,4518,16,A,12,2003-2
557,Graduated,4518,36,B,9,2003-2
558,Graduated,4518,4,A,12,2003-2
559,Graduated,4518,13,B+,10.5,2003-2
560,Graduated,4518,18,B+,10.5,2004-1
561,Graduated,4518,31,A,12,2004-1
562,Graduated,4518,28,A-,11.25,2003-1
563,Graduated,4518,32,B+,10.5,2003-1
564,Graduated,4518,37,A-,11.25,2003-2
565,Graduated,4518,17,B,9,2004-1
566,Graduated,4518,40,A-,11.25,2004-2
567,Graduated,4518,38,A-,11.25,2003-1
568,Graduated,4518,23,A,12,2004-1
569,Graduated,4518,39,B,9,2004-1
570,Graduated,4518,41,B+,10.5,2004-2
571,Graduated,4518,24,A-,11.25,2004-2
572,Graduated,4518,29,A-,11.25,2003-1
573,Graduated,4518,20,A,12,2004-2
574,Graduated,4538,42,C,6,2003-1
575,Graduated,4538,30,A-,11.25,2004-1
576,Graduated,4538,13,A-,11.25,2004-2
577,Graduated,4538,46,B+,10.5,2005-1
578,Graduated,4538,40,C+,7.5,2005-2
579,Graduated,4538,114,C+,7.5,2003-2
580,Graduated,4538,18,A-,11.25,2005-1
581,Graduated,4538,1,B,9,2003-2
582,Graduated,4538,44,D+,4.5,2003-2
583,Graduated,4538,48,B+,10.5,2003-2
584,Graduated,4538,28,B,9,2004-1
585,Graduated,4538,44,B,9,2004-1
586,Graduated,4538,16,A-,11.25,2004-2
587,Graduated,4538,41,B,9,2005-2
588,Graduated,4538,24,B,9,2003-1
589,Graduated,4538,29,A-,11.25,2004-1
590,Graduated,4538,37,A-,11.25,2004-2
591,Graduated,4538,31,A,12,2005-1
592,Graduated,4538,42,D,3,2002-2
593,Graduated,4538,54,B+,10.5,2003-1
594,Graduated,4538,17,A-,11.25,2004-2
595,Graduated,4538,23,B+,10.5,2005-1
596,Graduated,4538,39,B+,10.5,2005-1
597,Graduated,4538,35,A-,11.25,2005-2
598,Graduated,4538,115,W,,2002-2
599,Graduated,4538,43,B+,3.5,2004-1
600,Graduated,4538,36,A-,11.25,2004-2
601,Graduated,4538,20,A,12,2005-2
602,Graduated,4566,29,B,9,2003-1
603,Graduated,4566,31,A,12,2003-1
604,Graduated,4566,16,A,12,2003-2
605,Graduated,4566,36,A-,11.25,2003-2
606,Graduated,4566,37,B+,10.5,2004-2
607,Graduated,4566,41,B+,10.5,2004-2
608,Graduated,4566,35,B,9,2005-2
609,Graduated,4566,40,A-,11.25,2005-2
610,Graduated,4566,20,A,12,2005-2
611,Graduated,4566,42,A,12,2002-2
612,Graduated,4566,43,A,4,2003-1
613,Graduated,4566,48,C+,7.5,2003-2
614,Graduated,4566,28,A,12,2003-1
615,Graduated,4566,39,A-,11.25,2005-1
616,Graduated,4566,23,B,9,2004-1
617,Graduated,4566,38,A-,11.25,2002-2
618,Graduated,4566,30,A-,11.25,2004-1
619,Graduated,4566,18,B+,10.5,2005-1
620,Terminated,4584,44,WF,0,2008-1
621,Terminated,4584,50,C,6,2008-1
622,Terminated,4584,30,WF,0,2009-1
623,Terminated,4584,15,F,0,2009-1
624,Terminated,4584,1,F,0,2009-2
625,Terminated,4584,58,P,0,2008-1
626,Terminated,4584,50,RE,0,2008-2
627,Terminated,4584,45,RE,0,2008-2
628,Terminated,4584,28,F,0,2009-1
